taxi_ID,now_x,now_y
t0001,20.8034,25.0000
t0002,22.7184,24.5000
t0003,25.5000,27.3651
t0004,26.0000,32.0301
t0005,24.5000,26.6052
t0006,22.5000,25.6035
t0007,24.0000,27.1049
t0008,23.0000,25.9434
t0009,20.8911,27.0000
t0010,24.5000,28.2570
t0011,24.0000,27.7367
t0012,18.5000,20.6490
t0013,20.0000,23.0644
t0014,24.0000,28.2295
t0015,24.5000,27.1126
t0016,24.0000,27.6569
t0017,19.1272,22.0000
t0018,20.0000,23.7480
t0019,23.8773,27.0000
t0020,22.5000,29.0340
t0021,22.5000,25.2468
t0022,20.5000,25.0458
t0023,22.2331,24.5000
t0024,20.2846,24.5000
t0025,23.5000,30.6549
t0026,20.5000,23.2040
t0027,21.6998,25.5000
t0028,23.3684,26.5000
t0029,26.1043,30.5000
t0030,21.5000,23.1709
t0031,20.5000,25.1106
t0032,19.6925,25.0000
t0033,18.5000,21.1979
t0034,24.6928,27.0000
t0035,21.7044,26.0000
t0036,24.0000,26.3142
t0037,25.0000,27.6505
t0038,24.0000,26.2123
t0039,22.2743,25.5000
t0040,24.2526,27.5000
t0041,23.7086,26.5000
t0042,20.8278,25.0000
t0043,22.5000,25.9109
t0044,21.5000,22.3083
t0045,32.8738,27.5000
t0046,21.0000,22.9481
t0047,25.5000,27.9221
t0048,22.7969,24.5000
t0049,25.0000,31.2393
t0050,24.3709,28.5000
t0051,19.8055,25.0000
t0052,25.0000,28.1090
t0053,23.3104,27.0000
t0054,22.0000,25.8968
t0055,23.0000,24.8623
t0056,22.0000,26.2627
t0057,22.5000,24.8863
t0058,29.6436,24.5000
t0059,19.2699,22.5000
t0060,22.5000,24.1482
t0061,24.0000,26.3031
t0062,23.1532,28.5000
t0063,22.2964,29.0000
t0064,22.5000,25.5482
t0065,18.3185,21.0000
t0066,24.5000,27.2499
t0067,21.3359,24.0000
t0068,24.0000,28.0819
t0069,21.6098,26.0000
t0070,23.1952,30.0000
t0071,21.0000,25.7584
t0072,18.8968,20.5000
t0073,19.5000,23.3521
t0074,23.5000,26.0185
t0075,19.5000,21.6396
t0076,23.1052,25.5000
t0077,23.8887,27.0000
t0078,24.7508,28.5000
t0079,24.5000,27.9453
t0080,24.4220,30.0000
t0081,21.9234,26.5000
t0082,23.0000,26.2589
t0083,22.2964,26.5000
t0084,22.8755,25.5000
t0085,20.2571,24.0000
t0086,21.7952,28.0000
t0087,21.8082,27.0000
t0088,24.2709,24.5000
t0089,20.2502,23.5000
t0090,21.5000,25.6645
t0091,21.8974,27.5000
t0092,21.7067,24.5000
t0093,22.3415,25.0000
t0094,21.7616,26.5000
t0095,21.0000,23.3860
t0096,22.4361,25.5000
t0097,24.6989,28.5000
t0098,24.5784,26.5000
t0099,21.1627,26.0000
t0100,22.8389,25.5000
t0101,20.6355,19.5000
t0102,21.0000,25.6065
t0103,25.0000,28.1002
t0104,20.8049,23.0000
t0105,22.7390,24.5000
t0106,22.2911,27.5000
t0107,20.1602,24.0000
t0108,21.0000,23.6607
t0109,20.0000,21.7957
t0110,22.2812,27.5000
t0111,20.5000,23.7171
t0112,21.5000,26.1066
t0113,20.5000,22.5487
t0114,22.8297,24.5000
t0115,21.5000,25.5322
t0116,22.5000,29.0562
t0117,22.1439,26.0000
t0118,20.9216,24.0000
t0119,25.5000,27.7630
t0120,21.9241,28.5000
t0121,22.0000,28.1601
t0122,24.5000,27.0985
t0123,23.5000,29.2675
t0124,21.9180,26.0000
t0125,23.1059,26.5000
t0126,22.0000,27.2213
t0127,25.5000,27.4666
t0128,24.4762,28.0000
t0129,21.2848,23.5000
t0130,21.7754,25.5000
t0131,18.9174,21.0000
t0132,18.6008,21.5000
t0133,19.0000,20.5578
t0134,33.6772,27.0000
t0135,22.0081,18.5000
t0136,19.0000,21.3188
t0137,25.5000,27.3010
t0138,23.0000,28.9890
t0139,21.6251,26.0000
t0140,21.5000,24.7059
t0141,23.0000,26.2234
t0142,20.2724,25.5000
t0143,24.5000,28.2543
t0144,20.5000,18.6470
t0145,20.8774,25.0000
t0146,21.2428,22.0000
t0147,19.3607,23.0000
t0148,25.0000,27.3983
t0149,24.1443,28.0000
t0150,24.5000,28.5824
t0151,21.2077,25.5000
t0152,24.5000,28.9162
t0153,23.0000,26.3073
t0154,23.2173,29.0000
t0155,21.8867,24.5000
t0156,22.5000,25.1709
t0157,21.0000,19.3695
t0158,20.0000,24.4080
t0159,20.2701,25.0000
t0160,24.0000,30.6957
t0161,19.2302,20.5000
t0162,21.7654,26.5000
t0163,22.5000,29.2740
t0164,19.5000,24.1890
t0165,21.7654,23.5000
t0166,24.7821,27.0000
t0167,18.2353,21.0000
t0168,22.0000,25.2892
t0169,19.6971,24.5000
t0170,23.6293,27.5000
t0171,20.5000,24.0993
t0172,21.0000,24.2451
t0173,22.5650,25.5000
t0174,22.3407,26.5000
t0175,22.8969,26.5000
t0176,21.2360,26.5000
t0177,19.8367,23.0000
t0178,22.4551,25.5000
t0179,21.3199,22.5000
t0180,19.0000,20.5029
t0181,19.1539,23.5000
t0182,22.5000,25.6065
t0183,20.9583,25.5000
t0184,21.0000,25.6374
t0185,21.0000,24.0822
t0186,24.5000,28.7724
t0187,21.9150,27.5000
t0188,20.8919,25.0000
t0189,24.6165,28.0000
t0190,20.8003,25.0000
t0191,23.2341,26.5000
t0192,21.5000,23.7232
t0193,22.7519,29.5000
t0194,22.8122,25.5000
t0195,20.5000,23.7782
t0196,23.0000,26.6098
t0197,19.0000,20.5910
t0198,23.0000,26.2970
t0199,22.4055,24.5000
t0200,22.6176,26.0000
t0201,22.7229,29.5000
t0202,20.8507,25.0000
t0203,25.2170,28.0000
t0204,22.0000,26.6712
t0205,23.0000,25.7973
t0206,19.5000,24.2432
t0207,19.0000,20.7943
t0208,20.8308,26.0000
t0209,21.5587,25.5000
t0210,21.3641,25.5000
t0211,22.0000,23.3921
t0212,19.5000,22.7535
t0213,24.3709,27.5000
t0214,23.5000,26.9588
t0215,23.0000,26.0502
t0216,23.4027,27.0000
t0217,21.7372,27.0000
t0218,21.1948,24.5000
t0219,22.5000,26.2642
t0220,24.5860,27.0000
t0221,24.0000,27.9053
t0222,21.8227,28.0000
t0223,22.2507,25.0000
t0224,20.7736,24.0000
t0225,23.7659,27.5000
t0226,22.5000,26.0590
t0227,24.2854,26.5000
t0228,23.2181,26.5000
t0229,23.2722,26.5000
t0230,20.0000,23.2956
t0231,22.1782,29.0000
t0232,33.5925,27.0000
t0233,22.6443,25.5000
t0234,21.5000,27.4071
t0235,19.5000,20.8828
t0236,23.9131,27.0000
t0237,24.2664,26.5000
t0238,19.5000,22.0375
t0239,25.0000,28.0884
t0240,20.1701,26.0000
t0241,23.0502,26.0000
t0242,19.5000,22.1661
t0243,23.5000,27.2648
t0244,20.5577,25.0000
t0245,23.4210,30.5000
t0246,21.0000,26.1620
t0247,19.5000,23.3109
t0248,23.7560,26.5000
t0249,24.6333,28.0000
t0250,22.5000,25.6008
t0251,20.0000,24.8817
t0252,21.5000,24.3294
t0253,21.0000,25.8942
t0254,21.6815,24.0000
t0255,20.5000,22.8249
t0256,21.6602,27.5000
t0257,33.0000,27.3617
t0258,26.1417,31.0000
t0259,19.5000,21.6862
t0260,22.0000,27.0851
t0261,20.5000,23.8922
t0262,23.5980,26.5000
t0263,22.5000,25.2419
t0264,21.0000,27.1778
t0265,19.5000,22.4213
t0266,18.4428,20.5000
t0267,21.0000,25.5917
t0268,23.0000,26.6201
t0269,21.8669,27.5000
t0270,22.5000,28.7960
t0271,20.5000,23.2536
t0272,22.5000,28.7521
t0273,23.5000,26.4282
t0274,19.0000,24.6902
t0275,22.6917,26.5000
t0276,24.0000,29.8809
t0277,41.0000,14.6847
t0278,23.8055,28.0000
t0279,24.1115,27.0000
t0280,21.7601,27.0000
t0281,23.6888,26.5000
t0282,22.5000,25.7038
t0283,24.5000,26.7239
t0284,21.0000,25.2632
t0285,33.0000,27.3769
t0286,20.1289,26.0000
t0287,22.8000,25.5000
t0288,22.5000,25.2075
t0289,23.9299,27.0000
t0290,19.0000,20.3403
t0291,22.5000,28.3218
t0292,20.9125,25.0000
t0293,22.0000,23.7419
t0294,24.0329,28.0000
t0295,18.6191,21.5000
t0296,36.0652,22.0000
t0297,21.0000,24.1764
t0298,25.1407,27.5000
t0299,21.8051,26.5000
t0300,24.0000,26.3329
t0301,22.1591,28.5000
t0302,24.5000,27.8893
t0303,22.6222,25.5000
t0304,19.1142,20.5000
t0305,22.0000,26.7796
t0306,19.5000,23.3128
t0307,22.5000,25.4089
t0308,19.6788,21.0000
t0309,22.7519,26.0000
t0310,22.0000,24.3061
t0311,20.2647,24.5000
t0312,21.3176,22.5000
t0313,23.1334,25.5000
t0314,21.2360,23.0000
t0315,22.8641,25.5000
t0316,21.5000,24.6449
t0317,23.7720,30.5000
t0318,32.6640,27.5000
t0319,24.5000,28.7205
t0320,26.4041,25.5000
t0321,23.9101,26.5000
t0322,22.3888,24.0000
t0323,19.7490,26.0000
t0324,42.3488,14.5000
t0325,23.0000,26.2207
t0326,21.5000,23.6698
t0327,22.7573,25.5000
t0328,24.5000,28.2501
t0329,33.0000,27.3769
t0330,21.7181,24.5000
t0331,20.7896,25.0000
t0332,24.5000,27.7309
t0333,22.7168,24.5000
t0334,21.2856,25.5000
t0335,23.5000,26.1585
t0336,23.3875,26.5000
t0337,25.0000,27.7222
t0338,24.6089,28.0000
t0339,18.2597,20.5000
t0340,21.6968,26.5000
t0341,20.5000,24.0959
t0342,23.2616,30.5000
t0343,23.4248,29.0000
t0344,22.6329,26.0000
t0345,24.5000,26.4160
t0346,21.7960,27.5000
t0347,25.5000,34.2426
t0348,20.8842,25.0000
t0349,23.5000,25.6962
t0350,21.5000,25.4421
t0351,22.5000,24.7852
t0352,22.4536,25.5000
t0353,21.5000,25.2739
t0354,23.7354,25.5000
t0355,24.5000,26.7036
t0356,22.0000,27.2873
t0357,22.1400,25.5000
t0358,20.5000,25.1045
t0359,20.6516,18.0000
t0360,33.3720,27.0000
t0361,20.1945,25.5000
t0362,21.0000,19.1078
t0363,23.2173,26.5000
t0364,24.5000,27.3777
t0365,21.7487,26.0000
t0366,24.4189,26.5000
t0367,33.3690,27.0000
t0368,21.2032,22.0000
t0369,20.8705,25.5000
t0370,19.2424,24.0000
t0371,18.6183,21.5000
t0372,32.7083,27.5000
t0373,22.0000,18.8148
t0374,19.0000,20.5311
t0375,20.0000,23.7835
t0376,22.1667,25.5000
t0377,23.8742,26.0000
t0378,19.8650,24.0000
t0379,22.1423,25.0000
t0380,22.0000,25.1266
t0381,20.6744,23.5000
t0382,23.0000,25.8080
t0383,21.7906,28.5000
t0384,25.5000,13.6341
t0385,20.5280,24.5000
t0386,22.0000,22.1523
t0387,19.3217,25.0000
t0388,21.3420,24.0000
t0389,19.5000,24.2176
t0390,21.8517,28.0000
t0391,22.0000,25.3521
t0392,21.5000,25.6474
t0393,22.0000,23.7339
t0394,23.5000,25.8503
t0395,25.5000,29.1405
t0396,22.1362,26.5000
t0397,25.7152,33.5000
t0398,24.0000,27.8568
t0399,22.1004,24.0000
t0400,21.2207,24.5000
t0401,21.3092,26.5000
t0402,20.5000,26.3069
t0403,21.4000,24.0000
t0404,19.2653,21.5000
t0405,20.3578,18.5000
t0406,24.5000,26.5781
t0407,20.2441,22.0000
t0408,22.3300,25.5000
t0409,21.7227,26.0000
t0410,22.6810,24.5000
t0411,22.3262,27.5000
t0412,24.7905,28.0000
t0413,25.2322,27.5000
t0414,22.0000,26.6685
t0415,22.5000,25.6336
t0416,33.0000,27.3758
t0417,24.6631,29.0000
t0418,20.8034,19.5000
t0419,22.0000,26.2207
t0420,20.5000,23.3952
t0421,24.5000,26.6926
t0422,18.7579,21.5000
t0423,23.5484,27.5000
t0424,21.8402,24.0000
t0425,22.5000,25.8488
t0426,22.6848,28.5000
t0427,19.2973,20.5000
t0428,18.4085,21.5000
t0429,24.5000,27.8152
t0430,23.0000,26.1215
t0431,19.6658,25.5000
t0432,20.2052,25.5000
t0433,24.6555,27.5000
t0434,25.3177,27.5000
t0435,21.0000,24.1871
t0436,23.0000,26.3367
t0437,23.3112,27.0000
t0438,20.0839,22.0000
t0439,20.5000,23.2754
t0440,24.0000,26.8284
t0441,21.4351,23.5000
t0442,22.0000,25.2316
t0443,22.1683,26.5000
t0444,26.0000,33.0254
t0445,32.8838,27.5000
t0446,25.0000,27.9461
t0447,18.6420,21.5000
t0448,19.5000,23.7576
t0449,21.5000,24.7429
t0450,27.5000,26.9459
t0451,19.5000,23.2300
t0452,21.7586,26.0000
t0453,25.5000,29.3488
t0454,22.5000,24.6571
t0455,23.0000,28.2204
t0456,22.0000,26.5461
t0457,23.2928,26.5000
t0458,23.5000,26.8902
t0459,23.0000,25.1987
t0460,20.5000,23.6111
t0461,22.5000,25.3929
t0462,23.3669,26.5000
t0463,23.1151,28.5000
t0464,21.0000,26.2779
t0465,19.6986,25.0000
t0466,24.0000,22.2157
t0467,22.0000,28.2398
t0468,19.7192,26.0000
t0469,21.2558,24.0000
t0470,22.2598,26.0000
t0471,22.0000,26.5415
t0472,21.5000,23.7171
t0473,21.5000,24.6792
t0474,23.0000,25.9129
t0475,23.5000,29.0970
t0476,22.0000,25.7042
t0477,21.0000,22.2240
t0478,24.3083,28.5000
t0479,23.1792,30.0000
t0480,22.5000,26.2653
t0481,22.5000,25.1526
t0482,24.4273,28.0000
t0483,21.7761,27.0000
t0484,23.5000,27.5558
t0485,24.2397,28.5000
t0486,22.7359,26.0000
t0487,21.1528,27.0000
t0488,24.3488,27.5000
t0489,19.2622,23.5000
t0490,22.0000,26.2470
t0491,23.7422,27.5000
t0492,20.8240,23.0000
t0493,23.5000,30.8311
t0494,20.7607,24.0000
t0495,22.7351,29.5000
t0496,24.4258,28.0000
t0497,22.1378,25.0000
t0498,20.8110,25.0000
t0499,22.7283,29.0000
t0500,24.0000,27.3834
t0501,22.0000,25.3460
t0502,20.8148,22.5000
t0503,24.5000,28.7106
t0504,23.5000,30.7251
t0505,23.6545,26.5000
t0506,23.5000,26.4099
t0507,19.5000,23.2170
t0508,24.0710,28.0000
t0509,21.8013,27.0000
t0510,23.0000,28.4161
t0511,23.0000,28.2497
t0512,24.7707,27.5000
t0513,22.3682,19.5000
t0514,22.5000,27.8301
t0515,23.0000,25.7820
t0516,21.0000,23.3109
t0517,24.5807,28.5000
t0518,24.0000,27.2243
t0519,22.0000,25.7374
t0520,20.9140,24.5000
t0521,22.5000,25.6634
t0522,22.0000,26.3020
t0523,21.7517,27.0000
t0524,22.7237,29.0000
t0525,24.0000,27.3491
t0526,24.5000,28.3539
t0527,19.4476,25.0000
t0528,21.6594,25.0000
t0529,19.8276,23.5000
t0530,22.8770,25.5000
t0531,22.5000,24.8619
t0532,23.6583,26.0000
t0533,20.7416,25.0000
t0534,22.5551,26.0000
t0535,23.8971,26.5000
t0536,42.3694,14.5000
t0537,24.8454,27.5000
t0538,24.1779,28.0000
t0539,22.5000,25.0874
t0540,22.3590,26.0000
t0541,18.5000,21.6019
t0542,23.4508,29.0000
t0543,24.5000,27.7458
t0544,21.7624,27.5000
t0545,21.7929,22.5000
t0546,19.5000,21.7079
t0547,24.2847,27.5000
t0548,21.8456,23.5000
t0549,18.5000,21.5527
t0550,19.6407,21.5000
t0551,20.8263,25.5000
t0552,21.5000,22.2431
t0553,19.7742,23.0000
t0554,22.0000,29.0550
t0555,20.0000,24.3179
t0556,20.0000,24.8596
t0557,21.2650,23.0000
t0558,20.7851,24.0000
t0559,20.7423,25.0000
t0560,21.7448,26.0000
t0561,22.5000,25.2022
t0562,23.0000,26.0391
t0563,22.8374,25.0000
t0564,22.5391,26.5000
t0565,23.2120,26.5000
t0566,22.5000,25.7900
t0567,20.7629,25.0000
t0568,22.8824,25.5000
t0569,23.1433,27.0000
t0570,20.3326,22.5000
t0571,23.2860,26.5000
t0572,22.5000,26.4164
t0573,19.0000,20.7932
t0574,19.7635,21.5000
t0575,22.0000,26.5961
t0576,24.6776,26.5000
t0577,21.7166,23.0000
t0578,21.6708,26.0000
t0579,25.0000,28.2429
t0580,24.3739,28.0000
t0581,22.0000,26.1620
t0582,22.8107,26.0000
t0583,23.0000,29.1958
t0584,22.5000,25.2853
t0585,23.5000,30.7350
t0586,26.0000,31.2756
t0587,21.0000,23.1766
t0588,21.6197,26.5000
t0589,23.7659,30.5000
t0590,23.0000,26.7792
t0591,21.9119,26.5000
t0592,21.8616,28.0000
t0593,22.6733,25.0000
t0594,21.5000,24.8070
t0595,21.0574,24.0000
t0596,21.5000,24.1974
t0597,21.0000,27.7180
t0598,22.0000,25.7877
t0599,22.0000,23.7110
t0600,21.5000,27.8709
t0601,20.0000,22.0333
t0602,22.2873,27.5000
t0603,22.3102,26.0000
t0604,20.2182,22.5000
t0605,24.8492,32.5000
t0606,22.0000,25.2216
t0607,22.0000,25.2762
t0608,24.0000,27.3026
t0609,24.3503,27.5000
t0610,22.2179,25.5000
t0611,29.8907,40.0000
t0612,22.1271,25.0000
t0613,22.0000,24.7135
t0614,22.2423,21.5000
t0615,22.2720,26.0000
t0616,24.2343,27.5000
t0617,21.5000,23.2334
t0618,25.1674,27.5000
t0619,20.5000,25.0866
t0620,18.5000,21.8071
t0621,21.7906,26.0000
t0622,20.8202,25.5000
t0623,24.0000,27.8339
t0624,23.3203,30.5000
t0625,21.0000,22.7627
t0626,22.5803,26.5000
t0627,18.7000,21.5000
t0628,32.7457,38.0000
t0629,23.0000,25.2438
t0630,22.0000,25.2380
t0631,23.8460,27.0000
t0632,22.0000,23.6885
t0633,24.0000,27.4338
t0634,20.3357,22.5000
t0635,24.0000,27.1011
t0636,20.5000,23.3761
t0637,20.5000,25.1350
t0638,20.5000,25.1133
t0639,25.2299,28.5000
t0640,21.7700,27.5000
t0641,24.7783,29.0000
t0642,23.1448,28.5000
t0643,1.5000,18.9133
t0644,37.0000,24.7681
t0645,22.0859,26.0000
t0646,21.0000,23.7385
t0647,20.1923,23.5000
t0648,20.5000,22.3675
t0649,21.7281,25.5000
t0650,32.7571,27.5000
t0651,19.0000,21.7594
t0652,18.9632,20.5000
t0653,23.2578,27.0000
t0654,21.7410,24.5000
t0655,24.5000,26.4252
t0656,22.7275,26.0000
t0657,21.5000,24.8291
t0658,23.6079,26.5000
t0659,23.0000,25.8419
t0660,22.0000,25.5852
t0661,21.7860,23.0000
t0662,21.8051,24.5000
t0663,23.6118,27.5000
t0664,23.0000,28.3661
t0665,33.5300,27.0000
t0666,21.4145,26.0000
t0667,20.2502,22.0000
